106	5	and?	take	Again , the devil took him to an exceedingly high mountain , and showed him all the kingdoms of the world , and their glory .	file://conllu/en/bibl.en_web.MAT.conllu#s106_0	
107	2	_	say	He said to him , &quot; I will give you all of these things , if you will fall down and worship me . &quot;	file://conllu/en/bibl.en_web.MAT.conllu#s107_0	
108	3	then?	say	Then Jesus said to him , &quot; Get behind me , Satan !	file://conllu/en/bibl.en_web.MAT.conllu#s108_0	
109	9	for?	worship	For it is written , ' You shall worship the Lord your God , and you shall serve him only . ' &quot;	file://conllu/en/bibl.en_web.MAT.conllu#s109_0	
110	4	then?	leave	Then the devil left him , and behold , angels came and served him .	file://conllu/en/bibl.en_web.MAT.conllu#s110_0	
111	12	when?	withdraw	Now when Jesus heard that John was delivered up , he withdrew into Galilee .	file://conllu/en/bibl.en_web.MAT.conllu#s111_0	
112	5	and?	come	Leaving Nazareth , he came and lived in Capernaum , which is by the sea , in the region of Zebulun and Naphtali , that it might be fulfilled which was spoken through Isaiah the prophet , saying , &quot; The land of Zebulun and the land of Naphtali , toward the sea , beyond the Jordan , Galilee of the Gentiles , the people who sat in darkness saw a great light , to those who sat in the region and shadow of death , to them light has dawned . &quot;	file://conllu/en/bibl.en_web.MAT.conllu#s112_0	
113	6	and?	begin	From that time , Jesus began to preach , and to say , &quot; Repent !	file://conllu/en/bibl.en_web.MAT.conllu#s113_0	
114	6	for?	be (be hand)	For the Kingdom of Heaven is at hand . &quot;	file://conllu/en/bibl.en_web.MAT.conllu#s114_0	
115	9	_	see	Walking by the sea of Galilee , he saw two brothers :	file://conllu/en/bibl.en_web.MAT.conllu#s115_0	
116	1	for?	Simon	Simon , who is called Peter , and Andrew , his brother , casting a net into the sea ; for they were fishermen .	file://conllu/en/bibl.en_web.MAT.conllu#s116_0	
117	2	_	say	He said to them , &quot; Come after me , and I will make you fishers for men . &quot;	file://conllu/en/bibl.en_web.MAT.conllu#s117_0	
118	3	and?	leave	They immediately left their nets and followed him .	file://conllu/en/bibl.en_web.MAT.conllu#s118_0	
119	7	and?	see	Going on from there , he saw two other brothers , James the son of Zebedee , and John his brother , in the boat with Zebedee their father , mending their nets .	file://conllu/en/bibl.en_web.MAT.conllu#s119_0	
120	2	_	call	He called them .	file://conllu/en/bibl.en_web.MAT.conllu#s120_0	
121	3	and?	leave	They immediately left the boat and their father , and followed him .	file://conllu/en/bibl.en_web.MAT.conllu#s121_0	
122	2	and?	go	Jesus went about in all Galilee , teaching in their synagogues , preaching the Good News of the Kingdom , and healing every disease and every sickness among the people .	file://conllu/en/bibl.en_web.MAT.conllu#s122_0	
123	5	_	go	The report about him went out into all Syria .	file://conllu/en/bibl.en_web.MAT.conllu#s123_0	
124	2	and?	bring	They brought to him all who were sick , afflicted with various diseases and torments , possessed with demons , epileptics , and paralytics ; and he healed them .	file://conllu/en/bibl.en_web.MAT.conllu#s124_0	
125	16	_	follow	Great multitudes from Galilee , Decapolis , Jerusalem , Judea and from beyond the Jordan followed him .	file://conllu/en/bibl.en_web.MAT.conllu#s125_0	
126	6	_	go	Seeing the multitudes , he went up onto the mountain .	file://conllu/en/bibl.en_web.MAT.conllu#s126_0	
127	9	when?	come	When he had sat down , his disciples came to him .	file://conllu/en/bibl.en_web.MAT.conllu#s127_0	
128	2	_	open	He opened his mouth and taught them , saying , &quot; Blessed are the poor in spirit , for theirs is the Kingdom of Heaven .	file://conllu/en/bibl.en_web.MAT.conllu#s128_0	
129	2	for?	be (be bless)	Blessed are those who mourn , for they shall be comforted .	file://conllu/en/bibl.en_web.MAT.conllu#s129_0	
130	2	for?	be (be gentle)	Blessed are the gentle , for they shall inherit the earth .	file://conllu/en/bibl.en_web.MAT.conllu#s130_0	
131	2	for?	be (be bless)	Blessed are those who hunger and thirst after righteousness , for they shall be filled .	file://conllu/en/bibl.en_web.MAT.conllu#s131_0	
132	2	for?	be (be merciful)	Blessed are the merciful , for they shall obtain mercy .	file://conllu/en/bibl.en_web.MAT.conllu#s132_0	
133	2	for?	be (be pure)	Blessed are the pure in heart , for they shall see God .	file://conllu/en/bibl.en_web.MAT.conllu#s133_0	
134	2	for?	be (be peacemaker)	Blessed are the peacemakers , for they shall be called children of God .	file://conllu/en/bibl.en_web.MAT.conllu#s134_0	
135	2	_	be (be bless)	Blessed are those who have been persecuted for righteousness ' sake , for theirs is the Kingdom of Heaven .	file://conllu/en/bibl.en_web.MAT.conllu#s135_0	
136	2	_	bless	&quot; Blessed are you when people reproach you , persecute you , and say all kinds of evil against you falsely , for my sake .	file://conllu/en/bibl.en_web.MAT.conllu#s136_0	
137	10	_	be (be reward)	Rejoice , and be exceedingly glad , for great is your reward in heaven .	file://conllu/en/bibl.en_web.MAT.conllu#s137_0	
138	3	for?	be	For that is how they persecuted the prophets who were before you .	file://conllu/en/bibl.en_web.MAT.conllu#s138_0	
139	3	but?	be (be salt)	&quot; You are the salt of the earth , but if the salt has lost its flavor , with what will it be salted ?	file://conllu/en/bibl.en_web.MAT.conllu#s139_0	
140	2	then?	be (be good)	It is then good for nothing , but to be cast out and trodden under the feet of men .	file://conllu/en/bibl.en_web.MAT.conllu#s140_0	
141	2	_	be (be light)	You are the light of the world .	file://conllu/en/bibl.en_web.MAT.conllu#s141_0	
142	10	_	hide	A city located on a hill ca n't be hidden .	file://conllu/en/bibl.en_web.MAT.conllu#s142_0	
143	4	but?	light	Neither do you light a lamp , and put it under a measuring basket , but on a stand ; and it shines to all who are in the house .	file://conllu/en/bibl.en_web.MAT.conllu#s143_0	
144	4	before?	let	Even so , let your light shine before men ; that they may see your good works , and glorify your Father who is in heaven .	file://conllu/en/bibl.en_web.MAT.conllu#s144_0	
145	4	_	think	&quot; Do n't think that I came to destroy the law or the prophets .	file://conllu/en/bibl.en_web.MAT.conllu#s145_0	
146	4	but?	come	I did n't come to destroy , but to fulfill .	file://conllu/en/bibl.en_web.MAT.conllu#s146_0	
147	6	until?	tell	For most certainly , I tell you , until heaven and earth pass away , not even one smallest letter or one tiny pen stroke shall in any way pass away from the law , until all things are accomplished .	file://conllu/en/bibl.en_web.MAT.conllu#s147_0	
148	39	therefore?	call	Whoever , therefore , shall break one of these least commandments , and teach others to do so , shall be called least in the Kingdom of Heaven ; but whoever shall do and teach them shall be called great in the Kingdom of Heaven .	file://conllu/en/bibl.en_web.MAT.conllu#s148_0	
149	3	for?	tell	For I tell you that unless your righteousness exceeds that of the scribes and Pharisees , there is no way you will enter into the Kingdom of Heaven .	file://conllu/en/bibl.en_web.MAT.conllu#s149_0	
150	8	and?	say (say hear)	&quot; You have heard that it was said to the ancient ones , ' You shall not murder ;' and ' Whoever shall murder shall be in danger of the judgment . '	file://conllu/en/bibl.en_web.MAT.conllu#s150_0	
151	3	but?	tell	But I tell you , that everyone who is angry with his brother without a cause shall be in danger of the judgment ; and whoever shall say to his brother , ' Raca ! '	file://conllu/en/bibl.en_web.MAT.conllu#s151_0	
152	20	_	be (be danger)	shall be in danger of the council ; and whoever shall say , ' You fool ! ' shall be in danger of the fire of Gehenna .	file://conllu/en/bibl.en_web.MAT.conllu#s152_0	
153	24	therefore?	leave	&quot; If therefore you are offering your gift at the altar , and there remember that your brother has anything against you , leave your gift there before the altar , and go your way .	file://conllu/en/bibl.en_web.MAT.conllu#s153_0	
154	3	then?	reconcile	First be reconciled to your brother , and then come and offer your gift .	file://conllu/en/bibl.en_web.MAT.conllu#s154_0	
155	1	while?	agree	Agree with your adversary quickly , while you are with him in the way ; lest perhaps the prosecutor deliver you to the judge , and the judge deliver you to the officer , and you be cast into prison .	file://conllu/en/bibl.en_web.MAT.conllu#s155_0	
156	4	_	tell	Most certainly I tell you , you shall by no means get out of there , until you have paid the last penny .	file://conllu/en/bibl.en_web.MAT.conllu#s156_0	
157	8	but?	say (say hear)	&quot; You have heard that it was said , ' You shall not commit adultery ; ' but I tell you that everyone who gazes at a woman to lust after her has committed adultery with her already in his heart .	file://conllu/en/bibl.en_web.MAT.conllu#s157_0	
158	10	and?	pluck	If your right eye causes you to stumble , pluck it out and throw it away from you .	file://conllu/en/bibl.en_web.MAT.conllu#s158_0	
159	14	for?	perish	For it is more profitable for you that one of your members should perish , than for your whole body to be cast into Gehenna .	file://conllu/en/bibl.en_web.MAT.conllu#s159_0	
160	10	and?	cut	If your right hand causes you to stumble , cut it off , and throw it away from you .	file://conllu/en/bibl.en_web.MAT.conllu#s160_0	
161	14	for?	perish	For it is more profitable for you that one of your members should perish , than for your whole body to be cast into Gehenna .	file://conllu/en/bibl.en_web.MAT.conllu#s161_0	
162	27	also?	tell (tell say)	&quot; It was also said , ' Whoever shall put away his wife , let him give her a writing of divorce , ' but I tell you that whoever puts away his wife , except for the cause of sexual immorality , makes her an adulteress ; and whoever marries her when she is put away commits adultery .	file://conllu/en/bibl.en_web.MAT.conllu#s162_0	
163	9	but?	say (say hear)	&quot; Again you have heard that it was said to them of old time , ' You shall not make false vows , but shall perform to the Lord your vows , ' but I tell you , do n't swear at all : neither by heaven , for it is the throne of God ; nor by the earth , for it is the footstool of his feet ; nor by Jerusalem , for it is the city of the great King .	file://conllu/en/bibl.en_web.MAT.conllu#s163_0	
164	4	for?	swear	Neither shall you swear by your head , for you ca n't make one hair white or black .	file://conllu/en/bibl.en_web.MAT.conllu#s164_0	
165	2	but?	let	But let your ' Yes ' be ' Yes ' and your ' No ' be ' No . '	file://conllu/en/bibl.en_web.MAT.conllu#s165_0	
166	2	_	be (be more)	Whatever is more than these is of the evil one .	file://conllu/en/bibl.en_web.MAT.conllu#s166_0	
167	8	and?	say (say hear)	&quot; You have heard that it was said , ' An eye for an eye , and a tooth for a tooth . '	file://conllu/en/bibl.en_web.MAT.conllu#s167_0	
168	3	also?	tell	But I tell you , do n't resist him who is evil ; but whoever strikes you on your right cheek , turn to him the other also .	file://conllu/en/bibl.en_web.MAT.conllu#s168_0	
169	11	also?	let	If anyone sues you to take away your coat , let him have your cloak also .	file://conllu/en/bibl.en_web.MAT.conllu#s169_0	
